date,year,industry,unemployed,share
2002-07-01,2002,Transportation and Utilities,270,0.034099520081
2002-07-01,2002,Information,264,0.033341752968
2002-07-01,2002,Agriculture,114,0.014397575145
2002-07-01,2002,Mining and Extraction,19,0.002399595858
2002-08-01,2002,Wholesale and Retail Trade,1170,0.153684487062
2002-08-01,2002,Manufacturing,1108,0.145540522790
2002-08-01,2002,Leisure and hospitality,884,0.116117168002
2002-08-01,2002,Business services,926,0.121634047025
2002-08-01,2002,Construction,654,0.085905687640
2002-08-01,2002,Education and Health,660,0.086693813214
2002-08-01,2002,Government,596,0.078287140418
2002-08-01,2002,Finance,343,0.045054512019
2002-08-01,2002,Self-employed,271,0.035597005123
2002-08-01,2002,Other,353,0.046368054643
2002-08-01,2002,Transportation and Utilities,221,0.029029292001
2002-08-01,2002,Information,270,0.035465650860
2002-08-01,2002,Agriculture,125,0.016419282806
2002-08-01,2002,Mining and Extraction,32,0.004203336398
2002-09-01,2002,Wholesale and Retail Trade,1171,0.160586944597
2002-09-01,2002,Manufacturing,1076,0.147558968733
2002-09-01,2002,Leisure and hospitality,885,0.121365880417
2002-09-01,2002,Business services,1007,0.138096544158
2002-09-01,2002,Construction,615,0.084339001646
2002-09-01,2002,Education and Health,562,0.077070762479
2002-09-01,2002,Government,530,0.072682391662
2002-09-01,2002,Finance,299,0.041003839824
2002-09-01,2002,Self-employed,266,0.036478332419
2002-09-01,2002,Other,281,0.038535381240
2002-09-01,2002,Transportation and Utilities,235,0.032227098190
2002-09-01,2002,Information,231,0.031678551838
2002-09-01,2002,Agriculture,92,0.012616566100
2002-09-01,2002,Mining and Extraction,42,0.005759736698
2002-10-01,2002,Wholesale and Retail Trade,1212,0.165190132207
2002-10-01,2002,Manufacturing,1046,0.142565081096
2002-10-01,2002,Leisure and hospitality,956,0.130298487120
2002-10-01,2002,Business services,962,0.131116260052
2002-10-01,2002,Construction,680,0.092680932261
2002-10-01,2002,Education and Health,517,0.070464767616
2002-10-01,2002,Government,499,0.068011448821
2002-10-01,2002,Finance,312,0.042524192449
2002-10-01,2002,Self-employed,275,0.037481259370
2002-10-01,2002,Other,272,0.037072372904
2002-10-01,2002,Transportation and Utilities,262,0.035709418018
2002-10-01,2002,Information,211,0.028758348099
2002-10-01,2002,Agriculture,97,0.013220662396
2002-10-01,2002,Mining and Extraction,36,0.004906637590
2002-11-01,2002,Wholesale and Retail Trade,1242,0.162927981110
2002-11-01,2002,Manufacturing,1115,0.146267873541
2002-11-01,2002,Leisure and hospitality,978,0.128295946478
2002-11-01,2002,Business services,1029,0.134986225895
2002-11-01,2002,Construction,758,0.099435917618
2002-11-01,2002,Education and Health,493,0.064672701036
2002-11-01,2002,Government,468,0.061393152302
2002-11-01,2002,Finance,337,0.044208316936
2002-11-01,2002,Self-employed,297,0.038961038961
2002-11-01,2002,Other,284,0.037255673619
2002-11-01,2002,Transportation and Utilities,233,0.030565394202
2002-11-01,2002,Information,220,0.028860028860
2002-11-01,2002,Agriculture,137,0.017971927063
2002-11-01,2002,Mining and Extraction,32,0.004197822380
2002-12-01,2002,Wholesale and Retail Trade,1150,0.147511544382
2002-12-01,2002,Manufacturing,1188,0.152385838892
2002-12-01,2002,Leisure and hospitality,922,0.118265777322
2002-12-01,2002,Business services,1038,0.133145202668
2002-12-01,2002,Construction,941,0.120702924577
2002-12-01,2002,Education and Health,558,0.071575166752
2002-12-01,2002,Government,446,0.057208825038
2002-12-01,2002,Finance,322,0.041303232427
2002-12-01,2002,Self-employed,327,0.041944586968
2002-12-01,2002,Other,241,0.030913288866
2002-12-01,2002,Transportation and Utilities,243,0.031169830682
2002-12-01,2002,Information,255,0.032709081580
2002-12-01,2002,Agriculture,120,0.015392508979
2002-12-01,2002,Mining and Extraction,45,0.005772190867
2003-01-01,2003,Wholesale and Retail Trade,1342,0.151245351065
2003-01-01,2003,Manufacturing,1302,0.146737292911
2003-01-01,2003,Leisure and hospitality,1049,0.118223825087
2003-01-01,2003,Business services,1112,0.125324016680
2003-01-01,2003,Construction,1196,0.134790938803
2003-01-01,2003,Education and Health,559,0.063000112701
2003-01-01,2003,Government,571,0.064352530148
2003-01-01,2003,Finance,327,0.036853375409
2003-01-01,2003,Self-employed,324,0.036515271047
2003-01-01,2003,Other,304,0.034261241970
2003-01-01,2003,Transportation and Utilities,331,0.037304181224
2003-01-01,2003,Information,243,0.027386453285
2003-01-01,2003,Agriculture,159,0.017919531162
2003-01-01,2003,Mining and Extraction,54,0.006085878508
2003-02-01,2003,Wholesale and Retail Trade,1238,0.141018339219
2003-02-01,2003,Manufacturing,1229,0.139993165509
2003-02-01,2003,Leisure and hospitality,1145,0.130424877549
2003-02-01,2003,Business services,1140,0.129855336599
2003-02-01,2003,Construction,1173,0.133614306869
2003-02-01,2003,Education and Health,576,0.065611117439
2003-02-01,2003,Government,483,0.055017655769
2003-02-01,2003,Finance,310,0.035311538900
2003-02-01,2003,Self-employed,304,0.034628089760
2003-02-01,2003,Other,331,0.037703610890
2003-02-01,2003,Transportation and Utilities,316,0.035994988040
2003-02-01,2003,Information,321,0.036564528990
2003-02-01,2003,Agriculture,172,0.019592208680
2003-02-01,2003,Mining and Extraction,41,0.004670235790
2003-03-01,2003,Wholesale and Retail Trade,1179,0.139427625355
2003-03-01,2003,Manufacturing,1222,0.144512771996
2003-03-01,2003,Leisure and hospitality,1035,0.122398297067
2003-03-01,2003,Business services,1190,0.140728476821
2003-03-01,2003,Construction,987,0.116721854305
2003-03-01,2003,Education and Health,518,0.061258278146
2003-03-01,2003,Government,526,0.062204351939
2003-03-01,2003,Finance,357,0.042218543046
2003-03-01,2003,Self-employed,279,0.032994323557
2003-03-01,2003,Other,370,0.043755912961
2003-03-01,2003,Transportation and Utilities,319,0.037724692526
2003-03-01,2003,Information,267,0.031575212867
2003-03-01,2003,Agriculture,161,0.019039735099
2003-03-01,2003,Mining and Extraction,46,0.005439924314
2003-04-01,2003,Wholesale and Retail Trade,1201,0.151564866229
2003-04-01,2003,Manufacturing,1199,0.151312468450
